Upstream1,Upstream2,Upstream3,timestep,flood_map_file
110.8298644,13.22048,24.71584,8.0,/data/carlisle/simulation/Run4/Run4-0008.wd
116.9567372,13.37312,24.95824,9.0,/data/carlisle/simulation/Run4/Run4-0009.wd
123.08361,13.52576,25.20064,10.0,/data/carlisle/simulation/Run4/Run4-0010.wd
129.2104828,13.6784,25.44304,11.0,/data/carlisle/simulation/Run4/Run4-0011.wd
135.3373556,13.83104,25.68544,12.0,/data/carlisle/simulation/Run4/Run4-0012.wd
141.4642284,13.98368,25.92784,13.0,/data/carlisle/simulation/Run4/Run4-0013.wd
147.5911012,14.13632,26.17024,14.0,/data/carlisle/simulation/Run4/Run4-0014.wd
153.717974,14.28896,26.41264,15.0,/data/carlisle/simulation/Run4/Run4-0015.wd
159.8448468,14.4416,26.65504,16.0,/data/carlisle/simulation/Run4/Run4-0016.wd
165.9717196,14.59424,26.89744,17.0,/data/carlisle/simulation/Run4/Run4-0017.wd
172.0985924,14.74688,27.13984,18.0,/data/carlisle/simulation/Run4/Run4-0018.wd
178.2254652,14.89952,27.38224,19.0,/data/carlisle/simulation/Run4/Run4-0019.wd
184.352338,15.05216,27.62464,20.0,/data/carlisle/simulation/Run4/Run4-0020.wd
190.4792108,15.2048,27.86704,21.0,/data/carlisle/simulation/Run4/Run4-0021.wd
196.6060836,15.35744,28.10944,22.0,/data/carlisle/simulation/Run4/Run4-0022.wd
202.7329564,15.51008,28.35184,23.0,/data/carlisle/simulation/Run4/Run4-0023.wd
208.8598292,15.66272,28.59424,24.0,/data/carlisle/simulation/Run4/Run4-0024.wd
211.986702,15.81536,28.83664,25.0,/data/carlisle/simulation/Run4/Run4-0025.wd
215.1135748,15.968,29.07904,26.0,/data/carlisle/simulation/Run4/Run4-0026.wd
218.2404476,16.12064,29.32144,27.0,/data/carlisle/simulation/Run4/Run4-0027.wd
221.3673204,16.27328,29.56384,28.0,/data/carlisle/simulation/Run4/Run4-0028.wd
224.4941932,16.42592,29.80624,29.0,/data/carlisle/simulation/Run4/Run4-0029.wd
227.621066,16.57856,30.04864,30.0,/data/carlisle/simulation/Run4/Run4-0030.wd
230.7479388,16.7312,30.29104,31.0,/data/carlisle/simulation/Run4/Run4-0031.wd
233.8748116,16.88384,30.53344,32.0,/data/carlisle/simulation/Run4/Run4-0032.wd
237.0016844,17.03648,30.77584,33.0,/data/carlisle/simulation/Run4/Run4-0033.wd
240.1285572,17.18912,31.01824,34.0,/data/carlisle/simulation/Run4/Run4-0034.wd
243.25543,17.34176,31.26064,35.0,/data/carlisle/simulation/Run4/Run4-0035.wd
246.3823028,17.4944,31.50304,36.0,/data/carlisle/simulation/Run4/Run4-0036.wd
249.5091756,17.64704,31.74544,37.0,/data/carlisle/simulation/Run4/Run4-0037.wd
252.6360484,17.79968,31.98784,38.0,/data/carlisle/simulation/Run4/Run4-0038.wd
255.7629212,17.95232,32.23024,39.0,/data/carlisle/simulation/Run4/Run4-0039.wd
258.889794,18.10496,32.47264,40.0,/data/carlisle/simulation/Run4/Run4-0040.wd
262.0166668,18.2576,32.71504,41.0,/data/carlisle/simulation/Run4/Run4-0041.wd
265.1435396,18.41024,32.95744,42.0,/data/carlisle/simulation/Run4/Run4-0042.wd
268.2704124,18.56288,33.19984,43.0,/data/carlisle/simulation/Run4/Run4-0043.wd
