Upstream1,Upstream2,Upstream3,timestep,flood_map_file
74.72090895,4.649985575,48.55642005,8.0,/data/carlisle/simulation/Run9/Run9-0008.wd
75.0358575,4.598755585,58.1118359,9.0,/data/carlisle/simulation/Run9/Run9-0009.wd
75.24613585,4.67569532,68.2165083,10.0,/data/carlisle/simulation/Run9/Run9-0010.wd
76.40713315,4.714378265,76.72803155,11.0,/data/carlisle/simulation/Run9/Run9-0011.wd
79.1812729,4.80519002,84.61557035,12.0,/data/carlisle/simulation/Run9/Run9-0012.wd
82.87222865,4.85742865,90.90419135,13.0,/data/carlisle/simulation/Run9/Run9-0013.wd
88.3166998,5.09560948,96.2074663,14.0,/data/carlisle/simulation/Run9/Run9-0014.wd
95.7648141,5.29796339,100.178732,15.0,/data/carlisle/simulation/Run9/Run9-0015.wd
106.2536999,5.503819435,105.0689026,16.0,/data/carlisle/simulation/Run9/Run9-0016.wd
118.3476021,5.81204626,108.2818304,17.0,/data/carlisle/simulation/Run9/Run9-0017.wd
131.9244566,6.185925815,113.088212,18.0,/data/carlisle/simulation/Run9/Run9-0018.wd
146.5414723,6.555182475,120.7634148,19.0,/data/carlisle/simulation/Run9/Run9-0019.wd
163.5578999,6.94929097,128.4158479,20.0,/data/carlisle/simulation/Run9/Run9-0020.wd
181.2093029,7.4009213,140.5929437,21.0,/data/carlisle/simulation/Run9/Run9-0021.wd
197.875006,7.93019291,151.8853494,22.0,/data/carlisle/simulation/Run9/Run9-0022.wd
215.9823976,8.695002355,165.3945938,23.0,/data/carlisle/simulation/Run9/Run9-0023.wd
233.9067183,9.54400352,178.548751,24.0,/data/carlisle/simulation/Run9/Run9-0024.wd
251.731257,10.53869233,191.35312,25.0,/data/carlisle/simulation/Run9/Run9-0025.wd
273.0130613,11.88726596,200.8696746,26.0,/data/carlisle/simulation/Run9/Run9-0026.wd
290.9004694,13.20531555,210.5435488,27.0,/data/carlisle/simulation/Run9/Run9-0027.wd
311.5733906,14.76085044,208.499016,28.0,/data/carlisle/simulation/Run9/Run9-0028.wd
330.869842,16.14983509,217.1906099,29.0,/data/carlisle/simulation/Run9/Run9-0029.wd
349.8478875,17.63245943,219.0890637,30.0,/data/carlisle/simulation/Run9/Run9-0030.wd
366.7954549,18.87090972,220.7873479,31.0,/data/carlisle/simulation/Run9/Run9-0031.wd
386.3989143,19.75141012,219.5126827,32.0,/data/carlisle/simulation/Run9/Run9-0032.wd
400.6355059,20.78453897,220.7873479,33.0,/data/carlisle/simulation/Run9/Run9-0033.wd
436.6648912,21.69522046,222.2816966,34.0,/data/carlisle/simulation/Run9/Run9-0034.wd
472.3900098,22.41739407,216.9804599,35.0,/data/carlisle/simulation/Run9/Run9-0035.wd
498.8759767,23.15794324,218.8774919,36.0,/data/carlisle/simulation/Run9/Run9-0036.wd
525.7716925,23.78123409,214.6791913,37.0,/data/carlisle/simulation/Run9/Run9-0037.wd
549.171059,24.3848883,213.0174527,38.0,/data/carlisle/simulation/Run9/Run9-0038.wd
570.2103465,24.93904304,212.6035795,39.0,/data/carlisle/simulation/Run9/Run9-0039.wd
596.7788125,25.48855906,208.9066867,40.0,/data/carlisle/simulation/Run9/Run9-0040.wd
606.6773625,25.96385382,206.4698982,41.0,/data/carlisle/simulation/Run9/Run9-0041.wd
631.131508,26.36982866,206.2678311,42.0,/data/carlisle/simulation/Run9/Run9-0042.wd
649.3176775,26.7489317,207.4825354,43.0,/data/carlisle/simulation/Run9/Run9-0043.wd
664.339006,27.06458148,207.0770199,44.0,/data/carlisle/simulation/Run9/Run9-0044.wd
709.167276,27.42249065,202.6567474,45.0,/data/carlisle/simulation/Run9/Run9-0045.wd
710.106222,27.77469616,207.2797008,46.0,/data/carlisle/simulation/Run9/Run9-0046.wd
724.30792,28.09426385,204.6568039,47.0,/data/carlisle/simulation/Run9/Run9-0047.wd
739.7012015,28.48971712,207.0770199,48.0,/data/carlisle/simulation/Run9/Run9-0048.wd
758.313065,28.78189585,206.4698982,49.0,/data/carlisle/simulation/Run9/Run9-0049.wd
780.320861,29.26946413,209.3149746,50.0,/data/carlisle/simulation/Run9/Run9-0050.wd
790.4886685,29.61164942,208.2954119,51.0,/data/carlisle/simulation/Run9/Run9-0051.wd
811.1362445,30.56656813,210.3383994,52.0,/data/carlisle/simulation/Run9/Run9-0052.wd
826.897919,31.56284388,211.3656966,53.0,/data/carlisle/simulation/Run9/Run9-0053.wd
850.4489525,32.67611172,213.0174527,54.0,/data/carlisle/simulation/Run9/Run9-0054.wd
822.6714995,33.6910774,213.8470715,55.0,/data/carlisle/simulation/Run9/Run9-0055.wd
864.610975,35.11336375,212.3968766,56.0,/data/carlisle/simulation/Run9/Run9-0056.wd
896.870606,36.52754323,216.1414349,57.0,/data/carlisle/simulation/Run9/Run9-0057.wd
870.106939,37.99548851,216.1414349,58.0,/data/carlisle/simulation/Run9/Run9-0058.wd
904.7971365,39.58490536,215.3049256,59.0,/data/carlisle/simulation/Run9/Run9-0059.wd
940.5640295,41.09930276,214.8876126,60.0,/data/carlisle/simulation/Run9/Run9-0060.wd
966.61335,42.21090449,220.7873479,61.0,/data/carlisle/simulation/Run9/Run9-0061.wd
999.353472,43.17732883,219.9369359,62.0,/data/carlisle/simulation/Run9/Run9-0062.wd
1064.858309,44.04824755,224.2145023,63.0,/data/carlisle/simulation/Run9/Run9-0063.wd
1079.137093,44.58316675,223.7838691,64.0,/data/carlisle/simulation/Run9/Run9-0064.wd
