Upstream1,Upstream2,Upstream3,timestep,flood_map_file
1520.481816,109.1442,361.56,77.0,/data/carlisle/simulation/Run3/Run3-0077.wd
1587.614372,112.2462,365.6586,78.0,/data/carlisle/simulation/Run3/Run3-0078.wd
1624.860707,115.3801,355.2428,79.0,/data/carlisle/simulation/Run3/Run3-0079.wd
1639.075666,118.547,343.3584,80.0,/data/carlisle/simulation/Run3/Run3-0080.wd
1646.188759,121.4235,333.3638,81.0,/data/carlisle/simulation/Run3/Run3-0081.wd
1656.865698,124.3264,324.049,82.0,/data/carlisle/simulation/Run3/Run3-0082.wd
1658.646497,126.2756,317.1212,83.0,/data/carlisle/simulation/Run3/Run3-0083.wd
1669.332418,129.2214,305.6867,84.0,/data/carlisle/simulation/Run3/Run3-0084.wd
1665.769696,130.8681,297.7678,85.0,/data/carlisle/simulation/Run3/Run3-0085.wd
1703.226,132.1914,291.5946,86.0,/data/carlisle/simulation/Run3/Run3-0086.wd
1713.946728,133.5191,282.1401,87.0,/data/carlisle/simulation/Run3/Run3-0087.wd
1744.362922,134.8523,276.0791,88.0,/data/carlisle/simulation/Run3/Run3-0088.wd
1764.077475,136.191,270.0621,89.0,/data/carlisle/simulation/Run3/Run3-0089.wd
1783.817853,136.862,265.1726,90.0,/data/carlisle/simulation/Run3/Run3-0090.wd
1783.817853,137.8707,257.6277,91.0,/data/carlisle/simulation/Run3/Run3-0091.wd
1799.988772,138.5439,253.8822,92.0,/data/carlisle/simulation/Run3/Run3-0092.wd
1778.431664,138.8816,247.5044,93.0,/data/carlisle/simulation/Run3/Run3-0093.wd
1776.636267,138.5439,243.8095,94.0,/data/carlisle/simulation/Run3/Run3-0094.wd
1771.253446,138.2073,239.0861,95.0,/data/carlisle/simulation/Run3/Run3-0095.wd
1751.528788,137.5341,234.9138,96.0,/data/carlisle/simulation/Run3/Run3-0096.wd
1726.462853,136.191,230.2498,97.0,/data/carlisle/simulation/Run3/Run3-0097.wd
1699.654295,134.519,227.1588,98.0,/data/carlisle/simulation/Run3/Run3-0098.wd
1674.679309,132.5225,224.081,99.0,/data/carlisle/simulation/Run3/Run3-0099.wd
1644.410205,130.2081,219.9989,100.0,/data/carlisle/simulation/Run3/Run3-0100.wd
1610.659223,128.2369,217.4612,101.0,/data/carlisle/simulation/Run3/Run3-0101.wd
1592.928701,126.2756,213.9247,102.0,/data/carlisle/simulation/Run3/Run3-0102.wd
1552.238663,123.3562,210.408,103.0,/data/carlisle/simulation/Run3/Run3-0103.wd
1529.294866,121.4235,208.9065,104.0,/data/carlisle/simulation/Run3/Run3-0104.wd
1478.261369,118.8649,205.9145,105.0,/data/carlisle/simulation/Run3/Run3-0105.wd
1464.219325,116.3272,202.4429,106.0,/data/carlisle/simulation/Run3/Run3-0106.wd
1429.183831,114.1228,200.4673,107.0,/data/carlisle/simulation/Run3/Run3-0107.wd
1408.211715,111.9349,198.4994,108.0,/data/carlisle/simulation/Run3/Run3-0108.wd
1373.340153,109.7624,196.537,109.0,/data/carlisle/simulation/Run3/Run3-0109.wd
1348.992826,107.6053,193.6066,110.0,/data/carlisle/simulation/Run3/Run3-0110.wd
1317.764831,105.7694,191.1756,111.0,/data/carlisle/simulation/Run3/Run3-0111.wd
1307.375335,103.9456,189.2385,112.0,/data/carlisle/simulation/Run3/Run3-0112.wd
1272.813674,101.8325,187.308,113.0,/data/carlisle/simulation/Run3/Run3-0113.wd
1253.851413,100.3332,186.3455,114.0,/data/carlisle/simulation/Run3/Run3-0114.wd
1229.76795,98.5446,183.9453,115.0,/data/carlisle/simulation/Run3/Run3-0115.wd
1221.179465,97.064,182.5109,116.0,/data/carlisle/simulation/Run3/Run3-0116.wd
1190.322001,95.2974,181.5561,117.0,/data/carlisle/simulation/Run3/Run3-0117.wd
1166.387873,93.8355,179.1779,118.0,/data/carlisle/simulation/Run3/Run3-0118.wd
1154.442143,92.3813,176.8096,119.0,/data/carlisle/simulation/Run3/Run3-0119.wd
1152.736573,90.9348,176.8096,120.0,/data/carlisle/simulation/Run3/Run3-0120.wd
1125.492359,89.7853,174.9231,121.0,/data/carlisle/simulation/Run3/Run3-0121.wd
1111.899445,88.6402,173.0432,122.0,/data/carlisle/simulation/Run3/Run3-0122.wd
1089.852785,87.2168,172.5746,123.0,/data/carlisle/simulation/Run3/Run3-0123.wd
1069.548749,86.0838,170.7024,124.0,/data/carlisle/simulation/Run3/Run3-0124.wd
1069.548749,84.9574,169.0722,125.0,/data/carlisle/simulation/Run3/Run3-0125.wd
1056.037802,84.3953,168.5299,126.0,/data/carlisle/simulation/Run3/Run3-0126.wd
1042.548188,83.2766,165.8294,127.0,/data/carlisle/simulation/Run3/Run3-0127.wd
1025.714803,82.1634,164.7547,128.0,/data/carlisle/simulation/Run3/Run3-0128.wd
1017.310461,81.609,164.7547,129.0,/data/carlisle/simulation/Run3/Run3-0129.wd
1017.310461,80.5046,163.1509,130.0,/data/carlisle/simulation/Run3/Run3-0130.wd
997.1726031,79.9546,161.0257,131.0,/data/carlisle/simulation/Run3/Run3-0131.wd
983.7750608,79.4057,161.0257,132.0,/data/carlisle/simulation/Run3/Run3-0132.wd
968.7280893,78.3123,159.4406,133.0,/data/carlisle/simulation/Run3/Run3-0133.wd
972.0696151,77.7678,157.8632,134.0,/data/carlisle/simulation/Run3/Run3-0134.wd
960.379889,76.9538,157.3396,135.0,/data/carlisle/simulation/Run3/Run3-0135.wd
948.708128,76.142,157.3396,136.0,/data/carlisle/simulation/Run3/Run3-0136.wd
937.0532094,75.3346,155.7743,137.0,/data/carlisle/simulation/Run3/Run3-0137.wd
928.7386938,74.7978,154.7348,138.0,/data/carlisle/simulation/Run3/Run3-0138.wd
922.0926954,74.2621,154.2167,139.0,/data/carlisle/simulation/Run3/Run3-0139.wd
912.1354875,73.4624,153.6986,140.0,/data/carlisle/simulation/Run3/Run3-0140.wd
902.1917535,72.93,153.1827,141.0,/data/carlisle/simulation/Run3/Run3-0141.wd
903.8479197,72.3998,153.1827,142.0,/data/carlisle/simulation/Run3/Run3-0142.wd
892.2603705,71.8707,152.6668,143.0,/data/carlisle/simulation/Run3/Run3-0143.wd
885.6469341,71.3438,152.152,144.0,/data/carlisle/simulation/Run3/Run3-0144.wd
879.0391117,71.0809,152.6668,145.0,/data/carlisle/simulation/Run3/Run3-0145.wd
874.0863327,70.2933,153.1827,146.0,/data/carlisle/simulation/Run3/Run3-0146.wd
862.5448194,70.0315,155.7743,147.0,/data/carlisle/simulation/Run3/Run3-0147.wd
864.192003,69.509,154.7348,148.0,/data/carlisle/simulation/Run3/Run3-0148.wd
852.6662092,68.9887,157.3396,149.0,/data/carlisle/simulation/Run3/Run3-0149.wd
854.31227,68.7291,159.4406,150.0,/data/carlisle/simulation/Run3/Run3-0150.wd
846.0887031,68.7291,161.5548,151.0,/data/carlisle/simulation/Run3/Run3-0151.wd
836.2325494,68.2099,164.219,152.0,/data/carlisle/simulation/Run3/Run3-0152.wd
836.2325494,67.6929,166.9063,153.0,/data/carlisle/simulation/Run3/Run3-0153.wd
832.9505333,67.4344,171.1699,154.0,/data/carlisle/simulation/Run3/Run3-0154.wd
824.7516686,67.177,172.106,155.0,/data/carlisle/simulation/Run3/Run3-0155.wd
823.1134677,67.177,173.5129,156.0,/data/carlisle/simulation/Run3/Run3-0156.wd
824.7516686,66.9196,175.3939,157.0,/data/carlisle/simulation/Run3/Run3-0157.wd
824.7516686,66.9196,174.9231,158.0,/data/carlisle/simulation/Run3/Run3-0158.wd
819.8370657,66.9196,174.9231,159.0,/data/carlisle/simulation/Run3/Run3-0159.wd
821.4752667,66.9196,174.9231,160.0,/data/carlisle/simulation/Run3/Run3-0160.wd
811.6539205,66.9196,174.9231,161.0,/data/carlisle/simulation/Run3/Run3-0161.wd
810.0179652,67.177,173.9826,162.0,/data/carlisle/simulation/Run3/Run3-0162.wd
805.1145905,67.177,173.9826,163.0,/data/carlisle/simulation/Run3/Run3-0163.wd
801.8471711,67.177,172.106,164.0,/data/carlisle/simulation/Run3/Run3-0164.wd
798.5808746,67.177,171.1699,165.0,/data/carlisle/simulation/Run3/Run3-0165.wd
798.5808746,67.177,171.1699,166.0,/data/carlisle/simulation/Run3/Run3-0166.wd
795.3168237,67.177,170.1612,167.0,/data/carlisle/simulation/Run3/Run3-0167.wd
783.9044352,67.177,169.0722,168.0,/data/carlisle/simulation/Run3/Run3-0168.wd
782.2752168,67.4344,167.4464,169.0,/data/carlisle/simulation/Run3/Run3-0169.wd
782.2752168,67.4344,166.3673,170.0,/data/carlisle/simulation/Run3/Run3-0170.wd
782.2752168,67.6929,165.8294,171.0,/data/carlisle/simulation/Run3/Run3-0171.wd
777.3920529,68.2099,164.7547,172.0,/data/carlisle/simulation/Run3/Run3-0172.wd
780.6471212,68.4695,163.6844,173.0,/data/carlisle/simulation/Run3/Run3-0173.wd
776.2752168,68.7291,162.0861,174.0,/data/carlisle/simulation/Run3/Run3-0174.wd
771.9033124,67.34,160.4878,175.0,/data/carlisle/simulation/Run3/Run3-0175.wd
767.531408,65.9509,158.8895,176.0,/data/carlisle/simulation/Run3/Run3-0176.wd
763.1595036,64.5618,157.2912,177.0,/data/carlisle/simulation/Run3/Run3-0177.wd
758.7875992,63.1727,155.6929,178.0,/data/carlisle/simulation/Run3/Run3-0178.wd
754.4156948,61.7836,154.0946,179.0,/data/carlisle/simulation/Run3/Run3-0179.wd
750.0437904,60.3945,152.4963,180.0,/data/carlisle/simulation/Run3/Run3-0180.wd
745.671886,59.0054,150.898,181.0,/data/carlisle/simulation/Run3/Run3-0181.wd
741.2999816,57.6163,149.2997,182.0,/data/carlisle/simulation/Run3/Run3-0182.wd
736.9280772,56.2272,147.7014,183.0,/data/carlisle/simulation/Run3/Run3-0183.wd
732.5561728,54.8381,146.1031,184.0,/data/carlisle/simulation/Run3/Run3-0184.wd
728.1842684,53.449,144.5048,185.0,/data/carlisle/simulation/Run3/Run3-0185.wd
723.812364,52.0599,142.9065,186.0,/data/carlisle/simulation/Run3/Run3-0186.wd
719.4404596,50.6708,141.3082,187.0,/data/carlisle/simulation/Run3/Run3-0187.wd
715.0685552,49.2817,139.7099,188.0,/data/carlisle/simulation/Run3/Run3-0188.wd
710.6966508,47.8926,138.1116,189.0,/data/carlisle/simulation/Run3/Run3-0189.wd
706.3247464,46.5035,136.5133,190.0,/data/carlisle/simulation/Run3/Run3-0190.wd
701.952842,45.1144,134.915,191.0,/data/carlisle/simulation/Run3/Run3-0191.wd
697.5809376,43.7253,133.3167,192.0,/data/carlisle/simulation/Run3/Run3-0192.wd
693.2090332,42.3362,131.7184,193.0,/data/carlisle/simulation/Run3/Run3-0193.wd
688.8371288,40.9471,130.1201,194.0,/data/carlisle/simulation/Run3/Run3-0194.wd
684.4652244,39.558,128.5218,195.0,/data/carlisle/simulation/Run3/Run3-0195.wd
680.09332,38.1689,126.9235,196.0,/data/carlisle/simulation/Run3/Run3-0196.wd
675.7214156,36.7798,125.3252,197.0,/data/carlisle/simulation/Run3/Run3-0197.wd
671.3495112,35.3907,123.7269,198.0,/data/carlisle/simulation/Run3/Run3-0198.wd
666.9776068,34.0016,122.1286,199.0,/data/carlisle/simulation/Run3/Run3-0199.wd
662.6057024,32.6125,120.5303,200.0,/data/carlisle/simulation/Run3/Run3-0200.wd
658.233798,31.2234,118.932,201.0,/data/carlisle/simulation/Run3/Run3-0201.wd
653.8618936,29.8343,117.3337,202.0,/data/carlisle/simulation/Run3/Run3-0202.wd
649.4899892,28.4452,115.7354,203.0,/data/carlisle/simulation/Run3/Run3-0203.wd
645.1180848,27.0561,114.1371,204.0,/data/carlisle/simulation/Run3/Run3-0204.wd
640.7461804,25.667,112.5388,205.0,/data/carlisle/simulation/Run3/Run3-0205.wd
