Upstream1,Upstream2,Upstream3,timestep,flood_map_file
197.6766822,5.84,25.656,8.0,/data/carlisle/simulation/Run5/Run5-0008.wd
211.6834842,5.919999935,25.92,9.0,/data/carlisle/simulation/Run5/Run5-0009.wd
225.6902863,5.919999935,26.184,10.0,/data/carlisle/simulation/Run5/Run5-0010.wd
239.6970883,5.919999935,26.448,11.0,/data/carlisle/simulation/Run5/Run5-0011.wd
253.7038904,5.919999935,26.712,12.0,/data/carlisle/simulation/Run5/Run5-0012.wd
267.7106924,6.239999945,26.976,13.0,/data/carlisle/simulation/Run5/Run5-0013.wd
281.7174945,6.559999954,27.24,14.0,/data/carlisle/simulation/Run5/Run5-0014.wd
295.7242966,6.879999963,27.504,15.0,/data/carlisle/simulation/Run5/Run5-0015.wd
309.7310986,7.199999972,27.768,16.0,/data/carlisle/simulation/Run5/Run5-0016.wd
323.7379007,7.519999982,28.032,17.0,/data/carlisle/simulation/Run5/Run5-0017.wd
337.7447027,7.839999991,28.296,18.0,/data/carlisle/simulation/Run5/Run5-0018.wd
351.7515048,8.16,28.56,19.0,/data/carlisle/simulation/Run5/Run5-0019.wd
365.7583068,8.480000009,28.824,20.0,/data/carlisle/simulation/Run5/Run5-0020.wd
379.7651089,8.968000008,29.088,21.0,/data/carlisle/simulation/Run5/Run5-0021.wd
393.7719109,9.456000007,29.352,22.0,/data/carlisle/simulation/Run5/Run5-0022.wd
396.6087105,9.944000006,29.616,23.0,/data/carlisle/simulation/Run5/Run5-0023.wd
399.4455102,10.43200001,29.88,24.0,/data/carlisle/simulation/Run5/Run5-0024.wd
402.2823098,10.92,30.144,25.0,/data/carlisle/simulation/Run5/Run5-0025.wd
405.1191094,11.408,31.208,26.0,/data/carlisle/simulation/Run5/Run5-0026.wd
407.955909,11.896,32.272,27.0,/data/carlisle/simulation/Run5/Run5-0027.wd
410.7927086,12.384,33.336,28.0,/data/carlisle/simulation/Run5/Run5-0028.wd
413.6295082,12.872,33.344,29.0,/data/carlisle/simulation/Run5/Run5-0029.wd
416.4663078,13.36,33.352,30.0,/data/carlisle/simulation/Run5/Run5-0030.wd
419.3031074,13.848,33.36,31.0,/data/carlisle/simulation/Run5/Run5-0031.wd
422.139907,13.8576,33.368,32.0,/data/carlisle/simulation/Run5/Run5-0032.wd
424.9767066,13.8672,33.376,33.0,/data/carlisle/simulation/Run5/Run5-0033.wd
427.8135062,13.8768,33.384,34.0,/data/carlisle/simulation/Run5/Run5-0034.wd
430.6503058,13.8864,33.392,35.0,/data/carlisle/simulation/Run5/Run5-0035.wd
433.4871055,13.896,33.4,36.0,/data/carlisle/simulation/Run5/Run5-0036.wd
436.3239051,13.9056,33.408,37.0,/data/carlisle/simulation/Run5/Run5-0037.wd
439.1607047,13.9152,33.416,38.0,/data/carlisle/simulation/Run5/Run5-0038.wd
441.9975043,13.9248,33.424,39.0,/data/carlisle/simulation/Run5/Run5-0039.wd
444.8343039,13.9344,33.432,40.0,/data/carlisle/simulation/Run5/Run5-0040.wd
447.6711035,13.944,33.44,41.0,/data/carlisle/simulation/Run5/Run5-0041.wd
450.5079031,13.9536,33.448,42.0,/data/carlisle/simulation/Run5/Run5-0042.wd
453.3447027,13.9536,33.456,43.0,/data/carlisle/simulation/Run5/Run5-0043.wd
456.1815023,13.9536,33.464,44.0,/data/carlisle/simulation/Run5/Run5-0044.wd
459.0183019,13.9536,33.472,45.0,/data/carlisle/simulation/Run5/Run5-0045.wd
461.8551015,13.9536,33.48,46.0,/data/carlisle/simulation/Run5/Run5-0046.wd
458.0740886,14.2304,33.488,47.0,/data/carlisle/simulation/Run5/Run5-0047.wd
459.9625153,14.5072,33.496,48.0,/data/carlisle/simulation/Run5/Run5-0048.wd
458.0740886,14.784,33.504,49.0,/data/carlisle/simulation/Run5/Run5-0049.wd
459.0183019,15.0608,33.512,50.0,/data/carlisle/simulation/Run5/Run5-0050.wd
458.0740886,15.3376,34.564,51.0,/data/carlisle/simulation/Run5/Run5-0051.wd
456.1889895,15.6144,35.616,52.0,/data/carlisle/simulation/Run5/Run5-0052.wd
458.0740886,15.8912,36.668,53.0,/data/carlisle/simulation/Run5/Run5-0053.wd
460.9083925,16.168,37.72,54.0,/data/carlisle/simulation/Run5/Run5-0054.wd
460.9083925,16.4448,38.772,55.0,/data/carlisle/simulation/Run5/Run5-0055.wd
459.9625153,16.4448,39.824,56.0,/data/carlisle/simulation/Run5/Run5-0056.wd
461.8551015,16.4448,40.876,57.0,/data/carlisle/simulation/Run5/Run5-0057.wd
465.6510888,16.4448,41.928,58.0,/data/carlisle/simulation/Run5/Run5-0058.wd
465.6510888,16.4448,42.98,59.0,/data/carlisle/simulation/Run5/Run5-0059.wd
465.6510888,19.024,44.032,60.0,/data/carlisle/simulation/Run5/Run5-0060.wd
468.5061904,21.6032,45.084,61.0,/data/carlisle/simulation/Run5/Run5-0061.wd
472.3271348,24.1824,46.136,62.0,/data/carlisle/simulation/Run5/Run5-0062.wd
475.2013702,26.7616,47.188,63.0,/data/carlisle/simulation/Run5/Run5-0063.wd
478.0830927,29.3408,47.188,64.0,/data/carlisle/simulation/Run5/Run5-0064.wd
482.9048202,31.92,47.188,65.0,/data/carlisle/simulation/Run5/Run5-0065.wd
