Upstream1,Upstream2,Upstream3,timestep,flood_map_file
144.5258579,3.00725,69.3951518,8.0,/data/carlisle/simulation/Run8/Run8-0008.wd
146.7142103,3.020857145,81.10111735,9.0,/data/carlisle/simulation/Run8/Run8-0009.wd
150.2682954,3.034464285,91.6917917,10.0,/data/carlisle/simulation/Run8/Run8-0010.wd
155.602388,3.06182143,102.7972185,11.0,/data/carlisle/simulation/Run8/Run8-0011.wd
160.8861069,3.075535715,115.5390617,12.0,/data/carlisle/simulation/Run8/Run8-0012.wd
164.4488208,3.103035715,124.5630486,13.0,/data/carlisle/simulation/Run8/Run8-0013.wd
168.6888596,3.158357145,135.4597568,14.0,/data/carlisle/simulation/Run8/Run8-0014.wd
172.8427278,3.18617857,138.3188056,15.0,/data/carlisle/simulation/Run8/Run8-0015.wd
177.3016622,3.242142855,153.5136221,16.0,/data/carlisle/simulation/Run8/Run8-0016.wd
180.4772263,3.27032143,162.8698905,17.0,/data/carlisle/simulation/Run8/Run8-0017.wd
185.41823,3.32692857,176.6491908,18.0,/data/carlisle/simulation/Run8/Run8-0018.wd
190.2782687,3.384,190.3834207,19.0,/data/carlisle/simulation/Run8/Run8-0019.wd
194.7786531,3.4415,195.8347223,20.0,/data/carlisle/simulation/Run8/Run8-0020.wd
199.5989825,3.513964285,200.6615531,21.0,/data/carlisle/simulation/Run8/Run8-0021.wd
205.7274357,3.57242857,204.8479382,22.0,/data/carlisle/simulation/Run8/Run8-0022.wd
212.9259999,3.66092857,208.5165542,23.0,/data/carlisle/simulation/Run8/Run8-0023.wd
218.6430192,3.780392855,210.837064,24.0,/data/carlisle/simulation/Run8/Run8-0024.wd
226.1680514,3.93217857,211.5211256,25.0,/data/carlisle/simulation/Run8/Run8-0025.wd
231.5860361,4.13342857,212.8913691,26.0,/data/carlisle/simulation/Run8/Run8-0026.wd
241.530843,4.38725,213.4402569,27.0,/data/carlisle/simulation/Run8/Run8-0027.wd
251.038299,4.697392855,212.4799995,28.0,/data/carlisle/simulation/Run8/Run8-0028.wd
260.2329566,5.05107143,213.1657566,29.0,/data/carlisle/simulation/Run8/Run8-0029.wd
270.6605882,5.41617857,212.7542176,30.0,/data/carlisle/simulation/Run8/Run8-0030.wd
282.6922094,5.84725,212.068884,31.0,/data/carlisle/simulation/Run8/Run8-0031.wd
294.9382943,6.33075,209.4710651,32.0,/data/carlisle/simulation/Run8/Run8-0032.wd
307.2319287,6.949214285,210.1537102,33.0,/data/carlisle/simulation/Run8/Run8-0033.wd
321.4134241,7.737464285,206.8834918,34.0,/data/carlisle/simulation/Run8/Run8-0034.wd
334.144347,8.51992857,207.5634362,35.0,/data/carlisle/simulation/Run8/Run8-0035.wd
347.0780296,9.15657143,206.6117135,36.0,/data/carlisle/simulation/Run8/Run8-0036.wd
358.2740817,9.72175,205.6613884,37.0,/data/carlisle/simulation/Run8/Run8-0037.wd
368.724648,10.2315,205.2545347,38.0,/data/carlisle/simulation/Run8/Run8-0038.wd
379.4787972,10.75285715,204.8479382,39.0,/data/carlisle/simulation/Run8/Run8-0039.wd
386.5370699,11.31017857,207.5634362,40.0,/data/carlisle/simulation/Run8/Run8-0040.wd
397.6840059,11.88003572,205.1189739,41.0,/data/carlisle/simulation/Run8/Run8-0041.wd
403.7685661,12.46232143,208.9254599,42.0,/data/carlisle/simulation/Run8/Run8-0042.wd
410.2633652,12.95267857,210.2903243,43.0,/data/carlisle/simulation/Run8/Run8-0043.wd
418.3009675,13.47792857,210.0171245,44.0,/data/carlisle/simulation/Run8/Run8-0044.wd
420.367395,14.03939286,210.5636375,45.0,/data/carlisle/simulation/Run8/Run8-0045.wd
428.2958792,14.66603572,211.931902,46.0,/data/carlisle/simulation/Run8/Run8-0046.wd
430.3824504,15.47346429,211.5211256,47.0,/data/carlisle/simulation/Run8/Run8-0047.wd
435.903391,16.70603572,213.8522187,48.0,/data/carlisle/simulation/Run8/Run8-0048.wd
443.9504903,18.55682143,213.3029926,49.0,/data/carlisle/simulation/Run8/Run8-0049.wd
449.155566,21.36385715,215.2272549,50.0,/data/carlisle/simulation/Run8/Run8-0050.wd
455.5511834,25.42196429,213.8522187,51.0,/data/carlisle/simulation/Run8/Run8-0051.wd
464.9202034,31.11025,211.5211256,52.0,/data/carlisle/simulation/Run8/Run8-0052.wd
470.2247171,33.31914286,209.6075374,53.0,/data/carlisle/simulation/Run8/Run8-0053.wd
474.7628878,36.67867857,206.3400494,54.0,/data/carlisle/simulation/Run8/Run8-0054.wd
487.2851959,38.95475,206.4758672,55.0,/data/carlisle/simulation/Run8/Run8-0055.wd
496.714423,41.50960715,206.8834918,56.0,/data/carlisle/simulation/Run8/Run8-0056.wd
504.3923305,43.69596429,204.8479382,57.0,/data/carlisle/simulation/Run8/Run8-0057.wd
515.590758,45.46739286,205.7970635,58.0,/data/carlisle/simulation/Run8/Run8-0058.wd
530.403069,47.11771429,204.9834418,59.0,/data/carlisle/simulation/Run8/Run8-0059.wd
546.8535315,48.45910715,207.9717446,60.0,/data/carlisle/simulation/Run8/Run8-0060.wd
561.3903635,49.78617857,209.6075374,61.0,/data/carlisle/simulation/Run8/Run8-0061.wd
579.0840425,53.61792855,210.7003365,62.0,/data/carlisle/simulation/Run8/Run8-0062.wd
593.748005,56.8995357,210.837064,63.0,/data/carlisle/simulation/Run8/Run8-0063.wd
605.9372715,59.99407145,210.0171245,64.0,/data/carlisle/simulation/Run8/Run8-0064.wd
625.51866,62.8030357,211.247416,65.0,/data/carlisle/simulation/Run8/Run8-0065.wd
637.7473435,65.5640357,214.6769028,66.0,/data/carlisle/simulation/Run8/Run8-0066.wd
652.324766,68.1962143,217.2950767,67.0,/data/carlisle/simulation/Run8/Run8-0067.wd
671.135591,70.54007145,215.5025996,68.0,/data/carlisle/simulation/Run8/Run8-0068.wd
680.0502655,73.3067143,222.9792116,69.0,/data/carlisle/simulation/Run8/Run8-0069.wd
693.8595025,76.22257145,225.0704499,70.0,/data/carlisle/simulation/Run8/Run8-0070.wd
713.617652,84.4662857,222.0054357,71.0,/data/carlisle/simulation/Run8/Run8-0071.wd
706.152507,84.6289643,222.9792116,72.0,/data/carlisle/simulation/Run8/Run8-0072.wd
715.254956,85.20007145,224.9308402,73.0,/data/carlisle/simulation/Run8/Run8-0073.wd
741.423792,85.11832145,224.3726781,74.0,/data/carlisle/simulation/Run8/Run8-0074.wd
743.562524,86.18525,226.7479214,75.0,/data/carlisle/simulation/Run8/Run8-0075.wd
741.423792,86.10285715,223.3969605,76.0,/data/carlisle/simulation/Run8/Run8-0076.wd
744.7518035,86.51535715,222.4226016,77.0,/data/carlisle/simulation/Run8/Run8-0077.wd
762.444433,86.51535715,224.0937631,78.0,/data/carlisle/simulation/Run8/Run8-0078.wd
