,a_plus,a_minus
RMSE,0.1,0.005000000000000001
mRMSE,0.1,0.000860451494640441
Hitrate,0.1,0.005000000000000001
CSI,0.1,0.005000000000000001
F2Score,0.1,0.005000000000000001
F3Score,0.1,0.005000000000000001
Latency,0.1,0.005000000000000001
Memory,0.1,0.005000000000000001
FLOPs,0.1,0.005000000000000001
Parameters,0.1,0.005000000000000001
