settings_index,model,topsis_score
0,Tier-2,0.3703182060843659
0,Tier-4,0.5953861720915223
0,Tier-3,0.4018528183393079
0,Tier-1,0.376261188549138
1,Tier-2,0.14568866446672357
1,Tier-4,0.98936217731063
1,Tier-3,0.23551890528457117
1,Tier-1,0.12805998725219223
2,Tier-2,0.5689612406714659
2,Tier-4,0.2977113210773794
2,Tier-3,0.5691192508190305
2,Tier-1,0.5663464440379538
3,Tier-2,0.14574232320183972
3,Tier-4,0.98372572759599
3,Tier-3,0.23554207096825253
3,Tier-1,0.12842787990841925
