,a_plus,a_minus
RMSE,0.0016666666666666668,8.333333333333334e-05
mRMSE,0.0016666666666666668,1.4340858244007351e-05
Hitrate,0.0016666666666666668,8.333333333333334e-05
CSI,0.0016666666666666668,8.333333333333334e-05
F2Score,0.0016666666666666668,8.333333333333334e-05
F3Score,0.0016666666666666668,8.333333333333334e-05
Latency,0.2475,0.012375
Memory,0.2475,0.012375
FLOPs,0.2475,0.012375
Parameters,0.2475,0.012375
