RMSE,mRMSE,Hitrate,CSI,F2Score,F3Score,Latency,Memory,FLOPs,Parameters
0.05,0.00860451494640441,0.4276959154171655,0.05,0.05,0.05,0.998722497203066,0.4219079355034922,1.0,0.11568057884922728
1.0,1.0,1.0,1.0,1.0,1.0,0.7550420341878992,0.05,0.05,0.05
0.05731614927514404,0.08147094615604795,0.6409005761878478,0.13934885627759214,0.17724168061048912,0.12221993081544569,1.0,0.4219079355034922,1.0,0.11568057884922728
0.06870168953095508,0.05,0.05,0.23307383327625086,0.09155537120985785,0.297045290430168,0.05,1.0,0.48416368463966525,1.0
