model,d_plus,d_minus
Tier-2,0.36601199969535114,0.06241729121049866
Tier-4,0.004158954499792287,0.3868002315325374
Tier-3,0.3320440666876735,0.10229508045797815
Tier-1,0.3531222637449432,0.051862320724489985
