Model,E_RMSE,E_mRMSE,E_Hitrate,E_CSI,E_F2Score,E_F3Score,E_Latency,E_Memory,E_FLOPs,E_Parameters,Area,Weighting_Profile
Tier-2,0.01,0.03697656685729478,0.7216893860904641,0.01,0.22765382196519207,0.01,1.0,0.16806466911165807,1.0,0.11557738303446718,0.14744235295085417,1
Tier-4,1.0,1.0,1.0,1.0,1.0,1.0,0.28906263865170645,0.01,0.01,0.01,1.5582637472919263,1
Tier-3,0.040402399541966894,0.01,0.01,0.049307295051649117,0.01,0.2266825342487667,0.885919265539647,0.16806466911165807,1.0,0.11557738303446718,0.18861523352650944,1
Tier-1,0.10747096548731327,0.10974997192283598,0.7277235672683563,0.3683166723305461,0.42197658361130513,0.45485579003145205,0.01,1.0,0.4841636846396653,1.0,0.5282431044567836,1
