Model,E_RMSE,E_mRMSE,E_Hitrate,E_CSI,E_F2Score,E_F3Score,E_Latency,E_Memory,E_FLOPs,E_Parameters,Area,Weighting_Profile
Tier-2,0.01,0.03697656685729478,0.7216893860904641,0.01,0.22765382196519207,0.01,1.0,0.04201616727791452,0.25,0.028894345758616796,0.03199258430415149,4
Tier-4,1.0,1.0,1.0,1.0,1.0,1.0,0.28906263865170645,0.01,0.01,0.01,1.5582637472919263,4
Tier-3,0.040402399541966894,0.01,0.01,0.049307295051649117,0.01,0.2266825342487667,0.885919265539647,0.04201616727791452,0.25,0.028894345758616796,0.07661703784568724,4
Tier-1,0.10747096548731327,0.10974997192283598,0.7277235672683563,0.3683166723305461,0.42197658361130513,0.45485579003145205,0.01,0.25,0.12104092115991633,0.25,0.2355524601181779,4
