Model,E_RMSE,E_mRMSE,E_Hitrate,E_CSI,E_F2Score,E_F3Score,E_Latency,E_Memory,E_FLOPs,E_Parameters,Area,Weighting_Profile
Tier-2,0.01,0.01848828342864739,0.36084469304523203,0.01,0.11382691098259604,0.01,1.0,0.16806466911165807,1.0,0.11557738303446718,0.13977643862839742,3
Tier-4,0.5,0.5,0.5,0.5,0.5,0.5,0.28906263865170645,0.01,0.01,0.01,0.41222024711575267,3
Tier-3,0.020201199770983447,0.01,0.01,0.024653647525824558,0.01,0.11334126712438335,0.885919265539647,0.16806466911165807,1.0,0.11557738303446718,0.15788155569931883,3
Tier-1,0.05373548274365664,0.05487498596141799,0.36386178363417815,0.18415833616527305,0.21098829180565257,0.22742789501572602,0.01,1.0,0.4841636846396653,1.0,0.3559336039323869,3
