Model,E_RMSE,E_mRMSE,E_Hitrate,E_CSI,E_F2Score,E_F3Score,E_Latency,E_Memory,E_FLOPs,E_Parameters,Area,Weighting_Profile
Tier-2,0.01,0.03697656685729478,0.7216893860904641,0.01,0.22765382196519207,0.01,0.5,0.08403233455582904,0.5,0.05778869151723359,0.04623809719824043,2
Tier-4,1.0,1.0,1.0,1.0,1.0,1.0,0.14453131932585322,0.01,0.01,0.01,1.5153622914049005,2
Tier-3,0.040402399541966894,0.01,0.01,0.049307295051649117,0.01,0.2266825342487667,0.4429596327698235,0.08403233455582904,0.5,0.05778869151723359,0.06308007120947187,2
Tier-1,0.10747096548731327,0.10974997192283598,0.7277235672683563,0.3683166723305461,0.42197658361130513,0.45485579003145205,0.01,0.5,0.24208184231983265,0.5,0.2975429740401991,2
