Model,E_RMSE,E_Latency,E_Memory,E_FLOPs,E_Parameters,Area
1DCNN,0.0,0.9750556718604496,0.8075991550580455,1.0,0.115211848711681,0.8132794032319057
HDL-FM,1.0,0.4453553940853229,0.0,0.06995959918544592,0.0,0.2117790748060212
PI1DCNN,0.06932230188247834,1.0,0.8075991550580455,1.0,0.115211848711681,0.8596215677537458
USRR-1DCNN,0.48359881126717474,0.0,1.0,0.0,1.0,0.22996490036411835
